order_id,created_at,customer_id,restaurant_id,ab_group,status,total_amount_usd,customer_city,customer_segment,restaurant_name,restaurant_category,restaurant_city,delivery_id,dasher_id,dasher_assigned_at,pickup_at,delivered_at,delivery_duration_minutes,stage_1_order_placed_at,stage_2_restaurant_confirmed_at,stage_3_dasher_assigned_at,stage_4_dasher_arrived_restaurant_at,stage_5_order_picked_up_at,stage_6_dasher_near_customer_at,stage_7_delivered_at,has_duplicate_flag,has_timestamp_issue_flag,has_missing_dasher_flag,has_outlier_flag,month,hour_of_day,delivery_stage_bucket
ORD_000001,2025-01-01 00:23:09,CUST_00069,REST_0035,B,delivered,41.93,São Paulo,new,Sabor & Arte 24,Mexican,Belo Horizonte,DEL_000000,DASH_0098,2025-01-01 00:27:41,2025-01-01 00:34:45,2025-01-01 00:45:47,23.3,2025-01-01 00:23:09,2025-01-01 00:24:48,2025-01-01 00:27:41,2025-01-01 00:32:02,2025-01-01 00:34:45,2025-01-01 00:43:01,2025-01-01 00:45:47,False,False,False,False,Jan,0,Madrugada (0-5h)
ORD_000002,2025-01-01 00:25:21,CUST_01442,REST_0053,A,delivered,75.78,Curitiba,new,Casa Portuguesa 39,Japanese,Brasília,DEL_000001,DASH_0036,2025-01-01 00:34:38,2025-01-01 00:49:42,2025-01-01 01:12:53,48.8,2025-01-01 00:25:21,2025-01-01 00:29:15,2025-01-01 00:34:38,2025-01-01 00:43:37,2025-01-01 00:49:42,2025-01-01 01:06:43,2025-01-01 01:12:53,False,False,False,False,Jan,0,Madrugada (0-5h)
ORD_000003,2025-01-01 00:47:39,CUST_00428,REST_0130,B,delivered,46.76,Porto Alegre,new,Urban Kitchen 29,Healthy,São Paulo,DEL_000002,DASH_0428,2025-01-01 00:58:42,2025-01-01 01:14:11,2025-01-01 01:39:39,53.4,2025-01-01 00:47:39,2025-01-01 00:51:24,2025-01-01 00:58:42,2025-01-01 01:07:45,2025-01-01 01:14:11,2025-01-01 01:32:40,2025-01-01 01:39:39,False,False,False,False,Jan,0,Madrugada (0-5h)
ORD_000004,2025-01-01 00:55:02,CUST_01423,REST_0016,B,delivered,15.87,Curitiba,returning,Verde & Co 12,Chinese,Brasília,DEL_000003,DASH_0089,2025-01-01 01:01:58,2025-01-01 01:12:20,2025-01-01 01:28:40,34.8,2025-01-01 00:55:02,2025-01-01 00:57:58,2025-01-01 01:01:58,2025-01-01 01:08:11,2025-01-01 01:12:20,2025-01-01 01:24:21,2025-01-01 01:28:40,False,False,False,False,Jan,0,Madrugada (0-5h)
ORD_000005,2025-01-01 00:55:40,CUST_01130,REST_0017,A,delivered,71.18,Curitiba,new,Sabor & Arte 28,Healthy,São Paulo,DEL_000004,DASH_0448,2025-01-01 01:02:02,2025-01-01 01:11:11,2025-01-01 01:26:18,31.5,2025-01-01 00:55:40,2025-01-01 00:58:05,2025-01-01 01:02:02,2025-01-01 01:07:50,2025-01-01 01:11:11,2025-01-01 01:22:12,2025-01-01 01:26:18,False,False,False,False,Jan,0,Madrugada (0-5h)
ORD_000006,2025-01-01 01:08:31,CUST_00406,REST_0046,B,delivered,8.29,Curitiba,returning,Verde & Co 40,Japanese,Belo Horizonte,DEL_000005,DASH_0323,2025-01-01 01:14:09,2025-01-01 01:22:09,2025-01-01 01:34:58,27.1,2025-01-01 01:08:31,2025-01-01 01:10:26,2025-01-01 01:14:09,2025-01-01 01:19:04,2025-01-01 01:22:09,2025-01-01 01:31:48,2025-01-01 01:34:58,False,False,False,False,Jan,1,Madrugada (0-5h)
ORD_000007,2025-01-01 01:14:08,CUST_00940,REST_0091,B,delivered,33.01,Curitiba,new,Nikkei House 8,Healthy,Porto Alegre,DEL_000006,DASH_0393,2025-01-01 01:20:27,2025-01-01 01:29:57,2025-01-01 01:44:42,31.7,2025-01-01 01:14:08,2025-01-01 01:16:44,2025-01-01 01:20:27,2025-01-01 01:26:17,2025-01-01 01:29:57,2025-01-01 01:40:47,2025-01-01 01:44:42,False,False,False,False,Jan,1,Madrugada (0-5h)
ORD_000008,2025-01-01 01:14:10,CUST_00074,REST_0122,B,delivered,25.78,São Paulo,vip,Sabor & Arte 32,Chinese,Belo Horizonte,DEL_000007,DASH_0173,2025-01-01 01:21:50,2025-01-01 01:32:44,2025-01-01 01:50:56,37.8,2025-01-01 01:14:10,2025-01-01 01:16:59,2025-01-01 01:21:50,2025-01-01 01:28:11,2025-01-01 01:32:44,2025-01-01 01:46:27,2025-01-01 01:50:56,False,False,False,False,Jan,1,Madrugada (0-5h)
ORD_000009,2025-01-01 01:43:03,CUST_01404,REST_0085,A,delivered,21.49,Rio de Janeiro,vip,Burger Lab 2,Pizza,Curitiba,DEL_000008,DASH_0005,2025-01-01 01:49:40,2025-01-01 02:00:05,2025-01-01 02:16:29,34.3,2025-01-01 01:43:03,2025-01-01 01:46:06,2025-01-01 01:49:40,2025-01-01 01:56:01,2025-01-01 02:00:05,2025-01-01 02:12:22,2025-01-01 02:16:29,False,False,False,False,Jan,1,Madrugada (0-5h)
ORD_000010,2025-01-01 02:17:23,CUST_00608,REST_0075,A,delivered,60.57,Curitiba,returning,Forno di Pietra 3,Dessert,Rio de Janeiro,DEL_000009,DASH_0009,2025-01-01 02:25:49,2025-01-01 02:38:57,2025-01-01 02:59:48,43.9,2025-01-01 02:17:23,2025-01-01 02:20:42,2025-01-01 02:25:49,2025-01-01 02:33:56,2025-01-01 02:38:57,2025-01-01 02:55:07,2025-01-01 02:59:48,False,False,False,False,Jan,2,Madrugada (0-5h)
ORD_000011,2025-01-01 02:20:33,CUST_00767,REST_0131,A,delivered,36.95,Curitiba,vip,Casa Portuguesa 9,Pizza,São Paulo,DEL_000010,DASH_0157,2025-01-01 02:29:10,2025-01-01 02:42:02,2025-01-01 03:01:27,42.3,2025-01-01 02:20:33,2025-01-01 02:24:05,2025-01-01 02:29:10,2025-01-01 02:36:12,2025-01-01 02:42:02,2025-01-01 02:56:23,2025-01-01 03:01:27,False,False,False,False,Jan,2,Madrugada (0-5h)
